"timestamp_utc","soak_window","target_vus","actual_vus_live","actual_vus_live_source","role","pid","process_available","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T17:28:48.9898717Z","early_steady","12","12","k6_progress","backend","28188","True","0.259","58.293","66.152","14"
"2026-08-17T17:28:48.9898717Z","early_steady","12","12","k6_progress","k6","10312","True","0.13","43.215","69.859","16"
"2026-08-17T17:28:50.9946342Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","58.039","65.277","14"
"2026-08-17T17:28:50.9946342Z","early_steady","12","12","k6_progress","k6","10312","True","0.195","43.297","69.859","16"
"2026-08-17T17:28:53.0081597Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","58.199","65.371","14"
"2026-08-17T17:28:53.0081597Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","43.309","69.859","16"
"2026-08-17T17:28:55.0228975Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","58.199","65.371","14"
"2026-08-17T17:28:55.0228975Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.312","69.859","16"
"2026-08-17T17:28:57.0354355Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","58.242","65.371","14"
"2026-08-17T17:28:57.0354355Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.316","69.859","16"
"2026-08-17T17:28:59.0509788Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.246","65.375","14"
"2026-08-17T17:28:59.0509788Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","43.316","69.859","16"
"2026-08-17T17:29:01.0677371Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.25","65.379","14"
"2026-08-17T17:29:01.0677371Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","43.32","69.859","16"
"2026-08-17T17:29:03.0874485Z","early_steady","12","12","k6_progress","backend","28188","True","0.064","58.344","65.379","14"
"2026-08-17T17:29:03.0874485Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","43.32","69.859","16"
"2026-08-17T17:29:05.0952293Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.344","65.379","14"
"2026-08-17T17:29:05.0952293Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.32","69.859","16"
"2026-08-17T17:29:07.1088039Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","58.344","65.379","14"
"2026-08-17T17:29:07.1088039Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.324","69.859","16"
"2026-08-17T17:29:09.1096690Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.109","65.195","14"
"2026-08-17T17:29:09.1096690Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.348","69.891","16"
"2026-08-17T17:29:11.1104018Z","early_steady","12","12","k6_progress","backend","28188","True","0.195","58.203","65.195","14"
"2026-08-17T17:29:11.1104018Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.348","69.891","16"
"2026-08-17T17:29:13.1117759Z","early_steady","12","12","k6_progress","backend","28188","True","0","58.203","65.195","14"
"2026-08-17T17:29:13.1117759Z","early_steady","12","12","k6_progress","k6","10312","True","0.26","43.348","69.891","16"
"2026-08-17T17:29:15.1191722Z","early_steady","12","12","k6_progress","backend","28188","True","0.324","58.219","65.199","14"
"2026-08-17T17:29:15.1191722Z","early_steady","12","12","k6_progress","k6","10312","True","0.195","43.352","69.891","16"
"2026-08-17T17:29:17.1305235Z","early_steady","12","12","k6_progress","backend","28188","True","0.259","57.984","64.93","14"
"2026-08-17T17:29:17.1305235Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.355","69.891","16"
"2026-08-17T17:29:19.1404108Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","58.191","65.395","14"
"2026-08-17T17:29:19.1404108Z","early_steady","12","12","k6_progress","k6","10312","True","0.194","43.371","69.891","16"
"2026-08-17T17:29:21.1440496Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.191","65.395","14"
"2026-08-17T17:29:21.1440496Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.375","69.891","16"
"2026-08-17T17:29:23.1554899Z","early_steady","12","12","k6_progress","backend","28188","True","0.324","58.195","65.395","14"
"2026-08-17T17:29:23.1554899Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.379","69.891","16"
"2026-08-17T17:29:25.1617890Z","early_steady","12","12","k6_progress","backend","28188","True","0.26","58.16","66.441","14"
"2026-08-17T17:29:25.1617890Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.383","69.891","16"
"2026-08-17T17:29:27.1715743Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.16","66.441","14"
