"timestamp_utc","phase","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T04:29:00.1929744Z","steady_4vu","backend","10924","0.062","52.758","61.996","14"
"2026-08-17T04:29:00.1929744Z","steady_4vu","k6","24636","0.248","35.457","62.516","15"
"2026-08-17T04:29:02.2593500Z","steady_4vu","backend","10924","0.126","53.012","62.289","14"
"2026-08-17T04:29:02.2593500Z","steady_4vu","k6","24636","0.252","35.457","62.516","15"
"2026-08-17T04:29:04.3687934Z","steady_4vu","backend","10924","0.062","53.012","62.289","14"
"2026-08-17T04:29:04.3687934Z","steady_4vu","k6","24636","0.062","35.457","62.516","15"
"2026-08-17T04:29:06.4710027Z","steady_4vu","backend","10924","0.186","53.254","62.543","14"
"2026-08-17T04:29:06.4710027Z","steady_4vu","k6","24636","0.186","35.496","62.516","15"
"2026-08-17T04:29:08.5355951Z","steady_4vu","backend","10924","0.063","53.242","62.754","14"
"2026-08-17T04:29:08.5355951Z","steady_4vu","k6","24636","0.126","35.496","62.516","15"
"2026-08-17T04:29:10.5877505Z","steady_4vu","backend","10924","0.063","53.254","62.754","14"
"2026-08-17T04:29:10.5877505Z","steady_4vu","k6","24636","0.19","35.496","62.516","15"
"2026-08-17T04:29:12.6488344Z","steady_4vu","backend","10924","0.063","53.441","63.016","14"
"2026-08-17T04:29:12.6488344Z","steady_4vu","k6","24636","0.126","35.496","62.516","15"
"2026-08-17T04:29:14.7233612Z","steady_4vu","backend","10924","0.126","53.441","63.016","14"
"2026-08-17T04:29:14.7233612Z","steady_4vu","k6","24636","0.063","35.496","62.516","15"
"2026-08-17T04:29:16.7763540Z","steady_4vu","backend","10924","0","53.441","63.016","14"
"2026-08-17T04:29:16.7763540Z","steady_4vu","k6","24636","0.063","35.496","62.516","15"
"2026-08-17T04:29:18.8330256Z","steady_4vu","backend","10924","0.063","53.863","63.359","14"
"2026-08-17T04:29:18.8330256Z","steady_4vu","k6","24636","0.127","35.504","62.516","15"
"2026-08-17T04:29:20.8707936Z","steady_4vu","backend","10924","0.128","53.719","63.004","14"
"2026-08-17T04:29:20.8707936Z","steady_4vu","k6","24636","0.064","35.504","62.516","15"
