metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1786976410,1.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,step=read_profile&test_phase=official_spike&target_vus=4&spike_phase=warmup_4,
http_req_duration,1786976410,5.911200,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,test_phase=official_spike&step=read_profile&spike_phase=warmup_4&target_vus=4,
http_req_blocked,1786976410,0.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
http_req_connecting,1786976410,0.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,target_vus=4&test_phase=official_spike&step=read_profile&spike_phase=warmup_4,
http_req_tls_handshaking,1786976410,0.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,test_phase=official_spike&target_vus=4&spike_phase=warmup_4&step=read_profile,
http_req_sending,1786976410,0.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=read_profile,
http_req_waiting,1786976410,4.940700,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=read_profile,
http_req_receiving,1786976410,0.970500,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,step=read_profile&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
http_req_failed,1786976410,0.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,target_vus=4&spike_phase=warmup_4&test_phase=official_spike&step=read_profile,
latency_read_profile_ms,1786976410,5.911200,,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=read_profile,
spike_warmup_4_http_duration_ms,1786976410,5.911200,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
spike_warmup_4_http_requests,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
