"timestamp_utc","spike_phase","target_vus","actual_vus_live","actual_vus_live_source","cpu_percent","committed_memory_percent","disk_bytes_per_second","network_bytes_per_second"
"2026-08-17T14:21:53.9070057Z","recovery_settling_4","4","32","k6_progress","14.916","85.666","1939064.637","26594.854"
"2026-08-17T14:21:55.2147405Z","recovery_settling_4","4","32","k6_progress","15.392","85.674","1064210.073","240.098"
"2026-08-17T14:21:56.5194685Z","recovery_settling_4","4","32","k6_progress","18.09","85.665","424790.551","711.145"
"2026-08-17T14:21:57.8158953Z","recovery_settling_4","4","32","k6_progress","19.559","85.668","598236.98","240.443"
"2026-08-17T14:21:59.1079287Z","recovery_settling_4","4","32","k6_progress","16.95","85.66","350609.231","292.214"
"2026-08-17T14:22:00.4101413Z","recovery_settling_4","4","30","k6_progress","16.389","85.647","517399.491","10914.094"
"2026-08-17T14:22:01.7046332Z","recovery_settling_4","4","26","k6_progress","24.048","85.625","669604.076","602.7"
"2026-08-17T14:22:03.0088693Z","recovery_settling_4","4","20","k6_progress","32.418","85.689","10227738.279","459.675"
"2026-08-17T14:22:04.3169319Z","recovery_settling_4","4","17","k6_progress","21.814","85.727","1307666.576","460.58"
"2026-08-17T14:22:05.6158131Z","recovery_settling_4","4","10","k6_progress","24.482","85.722","9861375.77","1406.61"
"2026-08-17T14:22:06.9059059Z","recovery_settling_4","4","5","k6_progress","15.301","85.712","184494.205","238.258"
"2026-08-17T14:22:08.2145157Z","recovery_settling_4","4","5","k6_progress","13.706","85.679","423437.218","599.222"
"2026-08-17T14:22:09.5149623Z","recovery_settling_4","4","4","k6_progress","14.319","85.614","230508.998","239.454"
"2026-08-17T14:22:10.8119862Z","recovery_settling_4","4","4","k6_progress","13.367","85.623","306141.904","598.932"
"2026-08-17T14:22:12.1019479Z","recovery_settling_4","4","4","k6_progress","20.808","85.518","866859.95","1184.463"
"2026-08-17T14:22:13.3961762Z","recovery_settling_4","4","4","k6_progress","16.819","85.498","533522.026","4867.44"
"2026-08-17T14:22:14.6961465Z","recovery_steady_4","4","4","k6_progress","26.922","85.414","338327.495","173.842"
"2026-08-17T14:22:15.9926849Z","recovery_steady_4","4","4","k6_progress","20.704","85.466","190251.083","13896.651"
"2026-08-17T14:22:17.2843495Z","recovery_steady_4","4","4","k6_progress","14.485","85.467","577299.712","120.099"
"2026-08-17T14:22:18.5750836Z","recovery_steady_4","4","4","k6_progress","18.395","85.463","263618.577","279.761"
"2026-08-17T14:22:19.8640582Z","recovery_steady_4","4","4","k6_progress","16.066","85.462","256483","65.861"
"2026-08-17T14:22:21.1776570Z","recovery_steady_4","4","4","k6_progress","13.727","85.467","151869.701","328.366"
"2026-08-17T14:22:22.4732450Z","recovery_steady_4","4","4","k6_progress","15.651","85.485","457819.102","120.754"
"2026-08-17T14:22:23.7650560Z","recovery_steady_4","4","4","k6_progress","15.39","85.451","267934.662","205.161"
"2026-08-17T14:22:25.0637732Z","recovery_steady_4","4","4","k6_progress","18.53","85.45","12170.33","773.521"
"2026-08-17T14:22:26.3561781Z","recovery_steady_4","4","4","k6_progress","15.682","85.46","142676.764","26322.947"
"2026-08-17T14:22:27.6451351Z","recovery_steady_4","4","4","k6_progress","20.991","85.433","134887.824","3701.312"
"2026-08-17T14:22:28.9332912Z","recovery_steady_4","4","4","k6_progress","18.032","85.43","276969.741","120.323"
"2026-08-17T14:22:30.2250211Z","recovery_steady_4","4","4","k6_progress","17.172","85.431","229738.01","239.179"
